time;0.0: zero MNF;0.1: a=1.1 b=5;1.0: sin.pert.;1.1: a=1.1 b=5;2.0: exp;2.1: a=1.1 b=5
39846.26042;9.14305625;15.81891254;10.96775228;16.33070074;15.8987961;23.40730114
39846.27083;11.55234286;17.86267177;13.84304511;18.60925618;21.2979394;25.79305835
39846.28125;20.65162;30.35342736;24.70258098;32.74815561;44.02431999;50.52990831
39846.29167;29.97638125;39.86664591;35.76737309;45.35479014;70.14133128;81.75667968
39846.30208;43.18152857;56.12263481;51.35950725;58.89353449;110.6936007;137.4708653
39846.3125;56.82907333;68.92805378;67.32971688;86.60265465;156.0318357;169.2530678
39846.32292;73.9629625;88.12536388;87.23003413;97.41891128;216.9041555;244.8817656
39846.33333;74.12168571;85.98394446;86.95993984;94.56883925;217.4861522;227.2462952
39846.34375;78.22915333;89.92640304;91.23818611;90.81828685;232.6541413;271.8482856
39846.35417;72.0948125;85.31798177;83.53414275;98.01619866;210.0777324;226.9091546
39846.36458;65.25547857;75.02030493;75.06781369;90.5929226;185.4689545;197.5962004
39846.375;59.03173333;70.47537677;67.38008114;77.80226255;163.6277352;184.7855836
39846.38542;46.00814375;51.69142971;52.07519773;64.04328488;119.8238831;135.8230512
39846.39583;42.11400714;51.87241641;47.2414852;59.37951625;107.2835678;111.9937251
39846.40625;47.10175333;54.2109819;52.33541977;65.59355607;123.3946533;155.6980796
39846.41667;45.91809375;57.78882509;50.50990148;58.61717796;119.5307964;130.7674704
39846.42708;42.7873;52.51014427;46.57216941;57.67653591;109.4318151;122.5258008
39846.4375;43.07897333;52.25439876;46.37609523;54.51740179;110.3650796;125.6875947
39846.44792;42.50080625;49.58919283;45.23309188;59.4068357;108.5166707;122.4724325
39846.45833;39.85692143;51.03448265;41.92006914;50.66047521;100.1450962;118.9030833
39846.46875;45.45422667;62.79238955;47.22776264;58.93769007;118.0233239;139.6836673
39846.47917;42.706875;48.80042541;43.82174641;50.52375797;109.1747591;126.291163
39846.48958;37.46375;50.04961587;37.95380089;47.31058989;92.68598259;101.5780972
39846.5;39.71225333;47.48945936;39.71225336;45.58072141;99.69093353;108.771062
39846.51042;38.54478125;45.4062265;38.04058981;50.58506672;96.04106817;101.9001439
39846.52083;38.58012143;45.32343035;37.57297979;43.92364401;96.15115108;105.9873633
39846.53125;36.61904667;47.23278657;35.19024237;44.56081073;90.08112311;100.6727986
39846.54167;36.4126;45.9134442;34.52774368;42.05230445;89.4467598;103.4109038
39846.55208;32.18203571;39.31421341;30.11312174;37.07689807;76.65083506;87.71101023
39846.5625;31.74809333;41.60356605;29.31819949;37.2374586;75.36107076;89.05583622
39846.57292;32.45196875;43.20470967;29.5813398;37.72271099;77.45533049;94.08418551
39846.58333;28.60800714;35.98099938;25.74720749;34.73548316;66.16213436;76.44263637
39846.59375;27.92393333;33.55014415;24.82119212;31.94519688;64.19049735;65.96596778
39846.60417;26.23861875;36.70282445;23.04400609;30.78561117;59.38492489;69.95601986
39846.61458;26.091;31.85306418;22.65040251;28.03888442;58.96759372;71.59941447
39846.625;26.63614667;33.69490079;22.8692267;28.11567417;60.51168508;74.18653405
39846.63542;26.83385;38.32854702;22.79889795;29.43315841;61.07363014;72.59860811
39846.64583;26.59337143;32.75597627;22.37378411;28.73117473;60.39023912;73.59768966
39846.65625;26.01263333;33.39069547;21.68689052;31.20745722;58.74628381;69.46991291
39846.66667;25.48311875;34.67961257;21.06931259;27.82275099;57.25530368;69.87884072
39846.67708;25.14735714;34.09720177;20.63656179;27.91420032;56.31387819;74.54142704
39846.6875;25.32073333;31.73444335;20.64207189;27.80105569;56.79960942;73.23932794
39846.69792;27.288675;36.86861934;22.12058093;29.2216491;62.37033279;70.0826557
39846.70833;29.25513571;38.4394789;23.60347781;31.76011218;68.03817351;73.16957126
39846.71875;27.95646667;35.21077375;22.47260847;26.87090825;64.28399398;69.98266846
39846.72917;29.22855625;35.39859236;23.43285571;32.93264229;67.96091302;86.14725962
39846.73958;34.02400714;39.77569536;27.23377541;35.08586675;82.17350774;94.00241086
39846.75;34.00285333;41.69325074;27.20228267;34.70864956;82.10965034;100.2249544
39846.76042;37.644275;47.15248314;30.13153996;38.48339123;93.24459602;115.1245476
39846.77083;40.818;48.39791092;32.7242405;43.30758882;103.1726657;122.9996402
39846.78125;44.90884;53.52342815;36.09965414;42.97538343;116.2558449;123.9735957
39846.79167;47.880875;64.95017071;38.63100076;46.90589649;125.9512836;134.122737
39846.80208;52.20822857;60.57360662;42.32071892;52.06414365;140.3374876;143.8630748
39846.8125;53.82704;68.45704502;43.88109987;46.94484092;145.7976832;172.6845042
39846.82292;54.8161375;66.63760469;44.98351858;56.2805794;149.1542176;154.83625
39846.83333;55.40900714;61.22265758;45.81188439;50.3884951;151.1734277;186.6170378
39846.84375;49.83193333;56.2180539;41.54518564;52.4201141;132.3989897;155.9058301
39846.85417;47.7190625;56.19236544;40.14744816;47.58135056;125.4194461;136.5177912
39846.86458;41.26454286;46.61315096;35.05967649;43.31143329;104.5854568;122.5694539
39846.875;40.19903333;48.96010376;34.51403148;43.22942132;101.220741;123.396597
39846.88542;43.8195;52.6626117;38.04106055;44.71505471;112.7416203;137.7494445
39846.89583;40.66975714;49.52387494;35.71811985;46.10102845;102.7045003;110.1041483
39846.90625;40.35041333;50.1675509;35.86691558;47.07638779;101.6974316;113.9316086
39846.91667;36.0341;46.15789646;32.43069127;41.89914756;88.2860526;98.53731352
39846.92708;34.28392143;45.04038481;31.25124196;40.63848721;82.95892465;90.40478425
39846.9375;32.44813333;38.09471548;29.96466069;36.02688915;77.44388785;93.2150451
39846.94792;37.65190625;49.93918512;35.23134597;47.32613692;93.26822481;124.4377547
39846.95833;33.63855714;41.3814533;31.89729589;42.13853892;81.01150477;98.24942059
39846.96875;31.79040667;39.97562767;30.55000649;41.09891995;75.48664166;88.95877593
39846.97917;35.60520625;43.37374018;34.67572528;42.47630579;86.9744883;104.8090792
39846.98958;30.1238;36.79548567;29.72976054;39.74098861;70.57277495;89.07376429
39847;23.11804667;30.15593037;23.11804663;28.68838017;50.69194093;54.89950715
39847.01042;19.332325;27.35512144;19.58520469;28.39163918;40.53732711;46.96100861
39847.02083;17.50213571;23.72376602;17.95903239;26.18484472;35.79841587;43.35524578
39847.03125;16.89905333;24.46539705;17.55842166;23.94498139;34.2632039;43.59151979
39847.04167;13.2654625;19.43675195;13.95213389;22.05098045;25.316461;34.43237504
39847.05208;10.14472143;15.60278776;10.79690378;15.64939302;18.10506788;25.25285045
39847.0625;8.314586667;13.64422069;8.950957568;15.11800834;14.11889897;20.62621974
39847.07292;5.80666875;11.06018784;6.320313743;11.44913089;9.013818619;15.71234339
39847.08333;5.449114286;11.12377273;5.994025509;11.55725876;8.325443842;14.31135771
39847.09375;4.078546667;9.157783206;4.531730486;9.911671191;5.796045617;11.41662389
39847.10417;2.8258875;8.227972534;3.169945853;8.742194938;3.663899778;8.937931863
39847.11458;2.84835;8.162365944;3.223959437;8.272505837;3.700340525;9.392609417
39847.125;1.76516;7.194909394;2.014791319;7.100242051;2.03460495;7.39759442
39847.13542;0.71053125;5.529736999;0.817372405;6.226467877;0.652347465;5.302662365
39847.14583;1.548857143;6.05827891;1.794615299;7.342984841;1.72788249;6.691525638
39847.15625;0.259253333;5.473133981;0.302365587;5.322595043;0.18499306;5.101824125
39847.16667;0.8799375;6.045963412;1.032347163;6.241338101;0.85224563;5.977263187
39847.17708;1.006392857;6.015939179;1.186914102;6.002387166;1.007997447;6.251869469
39847.1875;0.00204;5.311293624;0.002416943;4.603945496;0.000433549;4.852577897
39847.19792;0.78071875;5.851400031;0.928575981;6.05465847;0.733868526;5.743300474
39847.20833;0.955814286;6.312099173;1.140463416;6.544097911;0.945076353;5.505403126
39847.21875;1.322333333;6.072938311;1.581718347;6.823310627;1.417999841;6.678757247
39847.22917;2.10245;7.543279964;2.519342661;7.331860334;2.53167;7.533075205
39847.23958;2.984407143;8.060874076;3.580010594;9.334790876;3.922587034;9.047346574
39847.25;3.622706667;10.14640356;4.347248;9.78651044;4.997944888;10.55623214
39847.26042;9.14305625;14.7802394;10.96775228;18.10001025;15.8987961;21.30385892
39847.27083;11.55234286;16.74274358;13.84304512;19.64886434;21.2979394;26.53366773
39847.28125;20.65162;28.79854537;24.70258099;30.68854492;44.02431999;49.64646782
39847.29167;29.97638125;36.0645176;35.7673731;47.6865043;70.14133128;80.27811768
39847.30208;43.18152857;51.41824503;51.35950727;59.73601531;110.6936007;130.3667755
39847.3125;56.82907333;71.76243518;67.32971692;74.79112978;156.0318357;180.8739461
39847.32292;73.9629625;91.96078402;87.23003418;104.3363613;216.9041555;260.4951795
39847.33333;74.12168571;85.21686069;86.9599399;101.4987665;217.4861522;248.7285076
39847.34375;78.22915333;91.9451394;91.23818618;100.7010904;232.6541413;267.7191881
39847.35417;72.0948125;85.18712712;83.53414281;97.32519858;210.0777324;245.7037736
39847.36458;65.25547857;85.58905242;75.06781375;95.06192976;185.4689545;187.9294113
39847.375;59.03173333;68.10496476;67.3800812;74.37529412;163.6277352;182.7452626
39847.38542;46.00814375;56.81247448;52.07519778;58.38681399;119.8238831;142.1082537
39847.39583;42.11400714;48.91870215;47.24148524;55.85184678;107.2835678;124.2057913
39847.40625;47.10175333;55.58533984;52.33541983;60.52669663;123.3946533;138.3344233
39847.41667;45.91809375;57.33543323;50.50990154;60.98818935;119.5307964;138.2844334
39847.42708;42.7873;49.07763358;46.57216946;56.81126638;109.4318151;126.3074996
39847.4375;43.07897333;47.148516;46.37609529;51.42256498;110.3650796;127.995573
39847.44792;42.50080625;54.16943419;45.23309193;55.18374435;108.5166707;111.6923861
39847.45833;39.85692143;48.2999386;41.92006919;54.61051237;100.1450962;118.8928145
39847.46875;45.45422667;53.4252286;47.2277627;57.29060487;118.0233239;133.9208333
39847.47917;42.706875;53.44905321;43.82174647;54.13524035;109.1747591;122.157723
39847.48958;37.46375;48.57762674;37.95380094;44.27352051;92.68598259;116.3024943
39847.5;39.71225333;48.27155716;39.71225342;46.88207124;99.69093353;111.0986781
39847.51042;38.54478125;44.14926825;38.04058986;47.05071874;96.04106817;101.2102833
39847.52083;38.58012143;46.94567665;37.57297985;46.16139995;96.15115108;109.7702239
39847.53125;36.61904667;44.33615411;35.19024242;47.50226696;90.08112311;101.9095987
39847.54167;36.4126;48.1236771;34.52774373;42.32364513;89.4467598;95.5656328
39847.55208;32.18203571;43.16909664;30.11312179;37.32076612;76.65083506;85.07628479
39847.5625;31.74809333;37.35884816;29.31819953;38.17105755;75.36107076;99.07677778
39847.57292;32.45196875;41.27887221;29.58133985;37.01718686;77.45533049;93.41957287
39847.58333;28.60800714;37.2900198;25.74720752;36.92389776;66.16213436;75.98540147
39847.59375;27.92393333;37.43786533;24.82119216;34.41206916;64.19049735;72.63153978
39847.60417;26.23861875;34.17360738;23.04400612;30.88725897;59.38492489;68.88733445
39847.61458;26.091;35.74835347;22.65040253;26.63644335;58.96759372;71.79952337
39847.625;26.63614667;34.4561725;22.86922672;29.55549917;60.51168508;72.12893862
39847.63542;26.83385;34.27300434;22.79889798;28.7472088;61.07363014;72.91710833
39847.64583;26.59337143;37.16284947;22.37378413;28.29886426;60.39023912;75.42029046
39847.65625;26.01263333;33.5636754;21.68689054;29.59916097;58.74628381;62.16194965
39847.66667;25.48311875;34.06286183;21.06931261;28.3009591;57.25530368;71.87266189
39847.67708;25.14735714;31.68011542;20.63656181;28.02838887;56.31387819;71.67216435
39847.6875;25.32073333;33.3691351;20.6420719;27.31416707;56.79960942;65.2270321
39847.69792;27.288675;33.74766835;22.12058094;29.20542894;62.37033279;68.50933784
39847.70833;29.25513571;36.81258717;23.60347782;31.30589105;68.03817351;77.8464067
39847.71875;27.95646667;37.07753168;22.47260848;31.39691664;64.28399398;75.58498077
39847.72917;29.22855625;39.61120013;23.43285572;30.71274256;67.96091302;82.96245147
39847.73958;34.02400714;39.67913494;27.23377542;33.08119239;82.17350774;94.56568337
39847.75;34.00285333;42.55137312;27.20228267;35.70917489;82.10965034;91.22583518
39847.76042;37.644275;42.37207351;30.13153995;38.17977693;93.24459602;115.8174941
39847.77083;40.818;52.45866898;32.72424049;40.46706783;103.1726657;108.2730946
39847.78125;44.90884;54.08934387;36.09965413;42.0509955;116.2558449;125.3003467
39847.79167;47.880875;52.80073167;38.63100074;48.54074648;125.9512836;141.6915017
39847.80208;52.20822857;64.27839015;42.3207189;50.95576758;140.3374876;151.3379754
39847.8125;53.82704;69.24016785;43.88109984;53.85491589;145.7976832;166.1463986
39847.82292;54.8161375;64.46142856;44.98351855;56.39656657;149.1542176;157.5323458
39847.83333;55.40900714;63.35856697;45.81188435;55.120167;151.1734277;166.5270361
39847.84375;49.83193333;55.87894081;41.5451856;52.20941652;132.3989897;153.9130176
39847.85417;47.7190625;58.26867474;40.14744811;47.88326375;125.4194461;149.7182775
39847.86458;41.26454286;47.52108685;35.05967645;41.56156132;104.5854568;110.1315873
39847.875;40.19903333;49.35764016;34.51403144;39.12208599;101.220741;115.1124229
39847.88542;43.8195;54.49552656;38.0410605;46.57979536;112.7416203;132.1801523
39847.89583;40.66975714;50.57622053;35.71811981;42.91363016;102.7045003;115.3780671
39847.90625;40.35041333;49.15740977;35.86691553;45.66858638;101.6974316;106.152177
39847.91667;36.0341;41.73854442;32.43069122;38.90761304;88.2860526;100.0408403
39847.92708;34.28392143;41.98563315;31.25124191;37.22702385;82.95892465;94.44794206
39847.9375;32.44813333;41.28315914;29.96466064;41.96287891;77.44388785;92.80841333
39847.94792;37.65190625;43.95677288;35.23134592;47.30458501;93.26822481;113.9005765
39847.95833;33.63855714;41.1034805;31.89729584;42.26978375;81.01150477;90.01386855
39847.96875;31.79040667;37.33214227;30.55000644;39.95750444;75.48664166;91.1027862
39847.97917;35.60520625;43.72265203;34.67572523;42.32667005;86.9744883;94.40078692
39847.98958;30.1238;36.27733625;29.7297605;38.65902605;70.57277495;88.52068156
39848;23.11804667;29.68985447;23.1180466;29.04898101;50.69194093;62.3961442
39848.01042;19.332325;24.91876531;19.58520466;26.22763795;40.53732711;52.23474365
39848.02083;17.50213571;23.94396489;17.95903236;24.46764592;35.79841587;42.51754244
39848.03125;16.89905333;21.58038754;17.55842164;25.16699384;34.2632039;44.34699032
39848.04167;13.2654625;20.57560731;13.95213387;20.26019534;25.316461;33.61965147
39848.05208;10.14472143;14.81278785;10.79690376;18.05379002;18.10506788;23.44932637
39848.0625;8.314586667;13.43980184;8.950957557;15.0607543;14.11889897;22.2213618
39848.07292;5.80666875;11.19637134;6.320313736;12.65025695;9.013818619;14.88768319
39848.08333;5.449114286;11.5150831;5.994025502;11.11337187;8.325443842;14.00615931
39848.09375;4.078546667;9.406661303;4.531730481;9.614774827;5.796045617;11.54925969
39848.10417;2.8258875;8.65839774;3.16994585;8.688810674;3.663899778;8.681950537
39848.11458;2.84835;7.389845519;3.223959434;8.126607386;3.700340525;8.356814882
39848.125;1.76516;6.679518482;2.014791317;6.965470693;2.03460495;7.10231653
39848.13542;0.71053125;5.670434206;0.817372404;6.120086595;0.652347465;6.018103837
39848.14583;1.548857143;6.541917983;1.794615298;6.470814943;1.72788249;6.89855289
39848.15625;0.259253333;5.592720459;0.302365587;5.11365508;0.18499306;5.061547572
39848.16667;0.8799375;5.600270687;1.032347163;6.179676643;0.85224563;6.369120914
39848.17708;1.006392857;6.145269739;1.186914101;6.055848916;1.007997447;6.320266071
39848.1875;0.00204;5.099756649;0.002416943;5.20994194;0.000433549;4.803297951
39848.19792;0.78071875;5.897091128;0.928575981;6.080285431;0.733868526;5.674130249
39848.20833;0.955814286;6.083279059;1.140463415;6.20831887;0.945076353;6.031113363
39848.21875;1.322333333;6.83284148;1.581718346;7.55420618;1.417999841;6.042111852
39848.22917;2.10245;7.583243952;2.51934266;7.637259329;2.53167;7.952603699
39848.23958;2.984407143;8.814114627;3.580010594;9.193504677;3.922587034;9.181916223
39848.25;3.622706667;9.311490388;4.347248;9.553614188;4.997944888;10.84902712
39848.26042;9.14305625;14.93351109;10.96775228;16.47501283;15.8987961;22.69001553
39848.27083;11.55234286;17.1232809;13.84304512;19.30914445;21.2979394;28.9983468
39848.28125;20.65162;25.57407822;24.702581;30.44190137;44.02431999;53.2053755
39848.29167;29.97638125;36.65414278;35.76737312;46.91637939;70.14133128;80.05806631
39848.30208;43.18152857;51.88760992;51.35950729;66.49467118;110.6936007;117.6702551
39848.3125;56.82907333;70.48070553;67.32971695;80.45364128;156.0318357;188.8790029
39848.32292;73.9629625;89.49281232;87.23003423;85.74031619;216.9041555;234.5807586
39848.33333;74.12168571;86.706703;86.95993995;101.3848485;217.4861522;231.9356593
39848.34375;78.22915333;89.83450856;91.23818624;102.8226379;232.6541413;275.7471828
39848.35417;72.0948125;82.80007552;83.53414287;96.93859095;210.0777324;256.5590338
39848.36458;65.25547857;77.37992495;75.06781381;82.62511221;185.4689545;211.6923218
39848.375;59.03173333;73.63097953;67.38008126;77.83399109;163.6277352;187.409428
39848.38542;46.00814375;58.73899535;52.07519783;64.85552349;119.8238831;141.5283624
39848.39583;42.11400714;54.00996296;47.24148529;53.98082141;107.2835678;127.1696011
39848.40625;47.10175333;56.14234198;52.33541988;63.89161394;123.3946533;140.5606419
39848.41667;45.91809375;56.59891113;50.5099016;58.04618417;119.5307964;126.8289196
39848.42708;42.7873;48.6040572;46.57216952;55.82436401;109.4318151;132.0834737
39848.4375;43.07897333;56.36079683;46.37609535;58.37624049;110.3650796;133.0925723
39848.44792;42.50080625;52.18261027;45.23309199;52.35984679;108.5166707;115.0870725
39848.45833;39.85692143;50.45605807;41.92006925;49.9492796;100.1450962;121.6380055
39848.46875;45.45422667;49.56195026;47.22776277;53.57123007;118.0233239;127.4152475
39848.47917;42.706875;48.17451948;43.82174653;45.71726406;109.1747591;121.6436095
39848.48958;37.46375;44.94061249;37.953801;43.83068717;92.68598259;94.338538
39848.5;39.71225333;49.92518283;39.71225348;47.1449142;99.69093353;119.9291826
39848.51042;38.54478125;49.10569345;38.04058992;50.56018224;96.04106817;107.422709
39848.52083;38.58012143;47.95966654;37.5729799;51.22891564;96.15115108;118.1748529
39848.53125;36.61904667;42.76517781;35.19024248;45.7747981;90.08112311;107.3762447
39848.54167;36.4126;45.48998076;34.52774378;45.136428;89.4467598;97.15762525
39848.55208;32.18203571;40.1759912;30.11312183;37.06571739;76.65083506;88.71384341
39848.5625;31.74809333;37.60494372;29.31819958;35.56791938;75.36107076;94.15487991
39848.57292;32.45196875;40.55318524;29.58133989;36.84528165;77.45533049;95.57834442
39848.58333;28.60800714;34.81199863;25.74720756;32.3180241;66.16213436;78.94154427
39848.59375;27.92393333;36.94625064;24.82119219;31.3135729;64.19049735;78.14674381
39848.60417;26.23861875;34.04877772;23.04400615;30.89147767;59.38492489;73.51449835
39848.61458;26.091;32.95149472;22.65040256;31.79619662;58.96759372;74.43470579
39848.625;26.63614667;35.20003653;22.86922675;32.00460237;60.51168508;71.03804692
39848.63542;26.83385;34.14979001;22.798898;30.08996731;61.07363014;76.87796887
39848.64583;26.59337143;35.70374066;22.37378416;29.34033946;60.39023912;69.47793686
39848.65625;26.01263333;36.27082035;21.68689056;28.53173412;58.74628381;68.56062
39848.66667;25.48311875;32.86460836;21.06931262;27.71061232;57.25530368;68.50891585
39848.67708;25.14735714;31.46029301;20.63656182;26.68765772;56.31387819;69.80766204
39848.6875;25.32073333;32.45927473;20.64207192;25.63965863;56.79960942;63.57644238
39848.69792;27.288675;39.6778859;22.12058096;29.86777273;62.37033279;69.0035279
39848.70833;29.25513571;36.36305058;23.60347783;31.91941635;68.03817351;79.26227259
39848.71875;27.95646667;35.21413965;22.47260849;28.93906886;64.28399398;74.90081042
39848.72917;29.22855625;38.48301192;23.43285573;33.09260207;67.96091302;80.83674745
39848.73958;34.02400714;39.01461981;27.23377542;32.82155168;82.17350774;97.30556056
39848.75;34.00285333;44.00786894;27.20228267;33.95466119;82.10965034;95.04461642
39848.76042;37.644275;46.47777963;30.13153995;35.05342292;93.24459602;103.3151338
39848.77083;40.818;46.92197699;32.72424049;38.91584421;103.1726657;112.6931143
39848.78125;44.90884;53.42635802;36.09965412;40.72590238;116.2558449;121.4442428
39848.79167;47.880875;56.88746598;38.63100072;46.86708857;125.9512836;138.6903742
39848.80208;52.20822857;62.90055925;42.32071887;55.88795732;140.3374876;169.8699662
39848.8125;53.82704;64.05506832;43.88109981;56.44738998;145.7976832;158.9880449
39848.82292;54.8161375;64.00577729;44.98351851;59.20589834;149.1542176;167.4989976
39848.83333;55.40900714;67.92395948;45.81188431;56.11854467;151.1734277;164.5560489
39848.84375;49.83193333;60.1513218;41.54518556;48.35670013;132.3989897;148.089848
39848.85417;47.7190625;59.69232309;40.14744807;46.20544323;125.4194461;143.3617003
39848.86458;41.26454286;46.22666588;35.05967641;49.25587577;104.5854568;121.4284353
39848.875;40.19903333;49.42961165;34.5140314;43.41023805;101.220741;113.2982881
39848.88542;43.8195;50.17906341;38.04106045;42.8977696;112.7416203;119.5193286
39848.89583;40.66975714;47.92844824;35.71811976;45.42478774;102.7045003;115.4692577
39848.90625;40.35041333;49.09488096;35.86691549;43.84799644;101.6974316;122.4810765
39848.91667;36.0341;42.02712226;32.43069118;41.44142921;88.2860526;105.6268143
39848.92708;34.28392143;44.85733273;31.25124187;38.10406421;82.95892465;92.44779701
39848.9375;32.44813333;38.45971895;29.9646606;39.0401372;77.44388785;86.54020489
39848.94792;37.65190625;46.36794098;35.23134587;43.88910697;93.26822481;95.66518858
39848.95833;33.63855714;39.63142679;31.8972958;39.62262629;81.01150477;95.80486265
39848.96875;31.79040667;38.46611649;30.5500064;41.69307526;75.48664166;85.57736655
39848.97917;35.60520625;43.05864516;34.67572518;42.83294475;86.9744883;97.61213146
39848.98958;30.1238;37.42550189;29.72976045;35.35085981;70.57277495;79.7092171
39849;23.11804667;29.73720558;23.11804657;28.34149136;50.69194093;61.64261964
39849.01042;19.332325;26.89020015;19.58520463;24.57601356;40.53732711;50.8446507
39849.02083;17.50213571;23.16926159;17.95903234;23.67869621;35.79841587;41.43385926
39849.03125;16.89905333;22.60719063;17.55842161;24.5322075;34.2632039;43.63944613
39849.04167;13.2654625;21.27450522;13.95213385;20.42190428;25.316461;30.93434026
39849.05208;10.14472143;17.498393;10.79690375;17.17479267;18.10506788;23.92349632
39849.0625;8.314586667;14.57414756;8.950957546;13.49433212;14.11889897;20.7727654
39849.07292;5.80666875;11.40278439;6.320313728;11.71408773;9.013818619;15.04897977
39849.08333;5.449114286;11.43273895;5.994025496;11.90893395;8.325443842;14.10992784
39849.09375;4.078546667;9.597247678;4.531730476;9.94345854;5.796045617;11.77088249
39849.10417;2.8258875;8.331513987;3.169945846;8.721611346;3.663899778;9.093603463
39849.11458;2.84835;7.73282489;3.223959431;8.047178154;3.700340525;8.939228793
39849.125;1.76516;7.460099428;2.014791316;7.501356515;2.03460495;7.637229288
39849.13542;0.71053125;5.489068919;0.817372403;5.567573875;0.652347465;5.842083518
39849.14583;1.548857143;7.173458804;1.794615297;7.01972772;1.72788249;7.507002795
39849.15625;0.259253333;5.030527113;0.302365586;5.450756123;0.18499306;5.120145013
39849.16667;0.8799375;5.906127563;1.032347162;6.082248002;0.85224563;6.009240846
39849.17708;1.006392857;5.693813484;1.186914101;6.725707833;1.007997447;5.995351726
39849.1875;0.00204;4.772327285;0.002416943;4.631861566;0.000433549;4.809507918
39849.19792;0.78071875;5.431271711;0.928575981;5.825402431;0.733868526;6.084548581
39849.20833;0.955814286;6.455251837;1.140463415;6.236270955;0.945076353;6.216658623
39849.21875;1.322333333;5.951318185;1.581718346;6.58664657;1.417999841;6.278089478
39849.22917;2.10245;7.377133651;2.51934266;8.161406966;2.53167;7.564942977
39849.23958;2.984407143;8.692944512;3.580010593;8.774281322;3.922587034;9.218775579
39849.25;3.622706667;8.709347793;4.347248;9.502915732;4.997944888;10.38554454
39849.26042;9.14305625;13.79907297;10.96775228;17.34426194;15.8987961;24.08862818
39849.27083;11.55234286;17.01250169;13.84304512;20.68533192;21.2979394;28.38755122
39849.28125;20.65162;28.0332522;24.702581;36.03415584;44.02431999;56.71227797
39849.29167;29.97638125;38.19560081;35.76737313;41.21315551;70.14133128;86.84401994
39849.30208;43.18152857;51.36631603;51.35950731;54.95647277;110.6936007;129.2206003
39849.3125;56.82907333;65.31928495;67.32971698;75.36423281;156.0318357;182.9007676
39849.32292;73.9629625;82.95131676;87.23003428;102.9117549;216.9041555;231.0112497
39849.33333;74.12168571;88.1766254;86.95994;98.82670001;217.4861522;252.7622396
39849.34375;78.22915333;95.08099321;91.2381863;111.7711982;232.6541413;261.7086263
39849.35417;72.0948125;85.82666162;83.53414294;97.85333081;210.0777324;235.2153509
39849.36458;65.25547857;74.91168895;75.06781387;89.36681274;185.4689545;206.705524
39849.375;59.03173333;64.45064235;67.38008132;75.84624943;163.6277352;200.0606326
39849.38542;46.00814375;58.34735341;52.07519788;62.34172349;119.8238831;136.2888626
39849.39583;42.11400714;51.50678252;47.24148534;61.1490097;107.2835678;123.0838827
39849.40625;47.10175333;57.65223257;52.33541994;63.57294929;123.3946533;145.9944435
39849.41667;45.91809375;57.0288453;50.50990165;66.48179221;119.5307964;136.6073159
39849.42708;42.7873;53.72461587;46.57216957;54.58289257;109.4318151;123.874895
39849.4375;43.07897333;53.00719065;46.37609541;59.18653498;110.3650796;139.1910473
39849.44792;42.50080625;51.86203129;45.23309205;52.67957212;108.5166707;139.4650502
39849.45833;39.85692143;47.8860802;41.9200693;50.62930473;100.1450962;123.6382711
